iter	Passed	Remaining
161	1186	50093
162	1193	50046
163	1199	49994
164	1205	49943
165	1212	49907
166	1219	49881
167	1225	49852
168	1232	49815
169	1240	49850
170	1247	49836
171	1255	49836
172	1262	49835
173	1269	49810
174	1276	49770
175	1283	49746
176	1289	49712
177	1296	49685
178	1303	49667
179	1310	49655
180	1317	49648
181	1324	49609
182	1330	49578
183	1337	49558
184	1344	49541
185	1351	49512
186	1358	49486
187	1364	49451
188	1371	49422
189	1379	49436
190	1385	49393
191	1391	49357
192	1398	49313
193	1404	49274
194	1410	49237
195	1417	49204
196	1423	49172
197	1430	49134
198	1436	49098
199	1443	49083
200	1450	49048
201	1456	49014
202	1462	48979
203	1469	48946
204	1475	48910
205	1481	48876
206	1488	48840
207	1494	48815
208	1501	48778
209	1507	48739
210	1514	48714
211	1520	48699
212	1527	48670
213	1533	48635
214	1540	48603
215	1546	48571
216	1552	48534
217	1559	48521
218	1566	48494
219	1573	48480
220	1579	48453
221	1586	48428
222	1592	48397
223	1598	48369
224	1605	48339
225	1611	48310
226	1618	48287
227	1624	48261
228	1630	48224
229	1637	48195
230	1643	48167
231	1650	48143
232	1656	48118
233	1663	48092
234	1669	48068
235	1676	48045
236	1682	48022
237	1689	47998
238	1695	47972
239	1702	47946
240	1708	47914
241	1712	47821
242	1718	47798
243	1725	47774
244	1731	47749
245	1737	47713
246	1744	47692
247	1750	47657
248	1756	47626
249	1762	47600
250	1769	47571
251	1775	47545
252	1781	47513
253	1788	47491
254	1794	47464
255	1801	47446
256	1807	47425
257	1814	47405
258	1820	47380
259	1826	47351
260	1832	47326
261	1839	47300
262	1845	47274
263	1851	47252
264	1858	47234
265	1864	47203
266	1871	47184
267	1877	47164
268	1884	47144
269	1890	47126
270	1897	47104
271	1903	47085
272	1910	47068
273	1916	47046
274	1922	47022
275	1932	47075
276	1938	47039
277	1944	47006
278	1949	46970
279	1956	46945
280	1962	46924
281	1968	46895
282	1975	46880
283	1981	46860
284	1987	46834
285	1993	46807
286	2000	46783
287	2006	46763
288	2012	46743
289	2019	46723
290	2025	46692
291	2031	46662
292	2037	46639
293	2043	46617
294	2050	46594
295	2056	46568
296	2062	46547
297	2068	46524
298	2074	46497
299	2081	46489
300	2087	46467
301	2094	46447
302	2100	46426
303	2106	46408
304	2113	46392
305	2120	46377
306	2126	46363
307	2133	46346
308	2139	46323
309	2145	46300
310	2151	46275
311	2158	46267
312	2164	46245
313	2170	46224
314	2177	46202
315	2183	46176
316	2189	46159
317	2195	46137
318	2202	46119
319	2208	46098
320	2214	46076
321	2223	46104
322	2228	46065
323	2236	46080
324	2243	46072
325	2250	46067
326	2256	46052
327	2263	46034
328	2269	46017
329	2275	45993
330	2281	45976
331	2288	45964
332	2295	45953
333	2302	45952
334	2309	45952
335	2316	45941
336	2323	45935
337	2329	45919
338	2336	45908
339	2343	45902
340	2349	45886
341	2355	45862
342	2361	45827
343	2367	45809
344	2373	45789
345	2380	45774
346	2386	45750
347	2392	45731
348	2398	45710
349	2405	45700
350	2411	45680
351	2417	45663
352	2424	45648
353	2430	45630
354	2436	45610
355	2440	45551
356	2447	45538
357	2453	45517
358	2459	45497
359	2466	45490
360	2472	45475
361	2479	45457
362	2485	45439
363	2490	45396
364	2496	45382
365	2503	45369
366	2509	45352
367	2513	45295
368	2519	45276
369	2525	45262
370	2532	45242
371	2538	45225
372	2544	45212
373	2551	45197
374	2557	45185
375	2563	45168
376	2570	45158
377	2576	45138
378	2582	45120
379	2589	45110
380	2595	45096
381	2602	45078
382	2608	45070
383	2615	45054
384	2618	44986
385	2624	44969
386	2631	44960
387	2637	44952
388	2643	44930
389	2650	44925
390	2656	44909
391	2663	44891
392	2669	44870
393	2673	44828
394	2679	44813
395	2686	44800
396	2693	44792
397	2699	44774
398	2705	44755
399	2711	44746
400	2718	44731
401	2724	44720
402	2731	44708
403	2737	44698
404	2743	44681
405	2750	44665
406	2756	44647
407	2762	44629
408	2768	44612
409	2774	44599
410	2781	44588
411	2787	44575
412	2794	44563
413	2800	44545
414	2806	44537
